sample	EV1	EV2	cluster	species	chr	mds
ANN0801	-0.021727159753982185	0.06194294985363036	0	annuus	Ha412HOChr01	neg1
ANN0802	0.0025250131222096517	-0.002440029552070455	1	annuus	Ha412HOChr01	neg1
ANN0803	0.026644791318182072	0.007112209205752527	1	annuus	Ha412HOChr01	neg1
ANN0804	0.02691093065667638	0.005412654710083047	1	annuus	Ha412HOChr01	neg1
ANN0805	0.020791394144555025	-0.020531121320699428	1	annuus	Ha412HOChr01	neg1
ANN0806	-0.025110526467574654	0.03823290705007872	0	annuus	Ha412HOChr01	neg1
ANN0807	-0.023878928078825468	0.04798689084969832	0	annuus	Ha412HOChr01	neg1
ANN0808	-0.022248172796186585	-0.021798237104822288	0	annuus	Ha412HOChr01	neg1
ANN0809	0.029922167033443064	0.01622948252470869	1	annuus	Ha412HOChr01	neg1
ANN0810	0.03021081964679557	0.0063284571555643244	1	annuus	Ha412HOChr01	neg1
ANN0811	-0.02436608553010484	0.035691830555037524	0	annuus	Ha412HOChr01	neg1
ANN0812	-0.024581278532615904	0.0689220264274408	0	annuus	Ha412HOChr01	neg1
ANN0813	-0.022076191850108097	0.05666853842743594	0	annuus	Ha412HOChr01	neg1
ANN0814	-0.024663959443623363	0.04005667791144737	0	annuus	Ha412HOChr01	neg1
ANN0815	-0.02468935884770799	0.07143266193088971	0	annuus	Ha412HOChr01	neg1
ANN0816	-0.023093333308074428	0.06822196666627546	0	annuus	Ha412HOChr01	neg1
ANN0817	-0.021038836327970573	0.04747777312765439	0	annuus	Ha412HOChr01	neg1
ANN0818	-0.025782561157184115	0.03689682483755375	0	annuus	Ha412HOChr01	neg1
ANN0819	-0.024728242450202196	0.056704811024575516	0	annuus	Ha412HOChr01	neg1
ANN0820	-0.02410536220222603	0.06869626761746818	0	annuus	Ha412HOChr01	neg1
ANN0821	-0.025400206135371927	0.0427824404354929	0	annuus	Ha412HOChr01	neg1
ANN0822	-0.02493931550739497	0.07276997522231536	0	annuus	Ha412HOChr01	neg1
